geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,year,standard_population,female,male,male_minus_female,male_female_ratio,source_id,source_version
GBR,United Kingdom,OESOPHAGUS,Oesophagus,Przełyk,mortality,2024,World standard population,2.47,7.66,5.1899999999999995,3.101214574898785,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,OROPHARYNX,Oropharynx,Część ustna gardła,incidence,2024,World standard population,1.04,3.42,2.38,3.2884615384615383,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,OROPHARYNX,Oropharynx,Część ustna gardła,mortality,2024,World standard population,0.32,1.22,0.8999999999999999,3.8125,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,OTHER,Other specified cancers,Inne określone nowotwory,incidence,2024,World standard population,21.76,37.63,15.870000000000001,1.7293198529411764,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,OTHER,Other specified cancers,Inne określone nowotwory,mortality,2024,World standard population,2.92,3.9,0.98,1.3356164383561644,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,PANCREAS,Pancreas,Trzustka,incidence,2024,World standard population,6.02,7.68,1.6600000000000001,1.275747508305648,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,PANCREAS,Pancreas,Trzustka,mortality,2024,World standard population,5.26,6.64,1.38,1.2623574144486691,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,SALIVARY,Salivary glands,Ślinianki,incidence,2024,World standard population,0.54,0.63,0.08999999999999997,1.1666666666666665,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,SALIVARY,Salivary glands,Ślinianki,mortality,2024,World standard population,0.09,0.25,0.16,2.7777777777777777,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,STOMACH,Stomach,Żołądek,incidence,2024,World standard population,2.62,5.1,2.4799999999999995,1.946564885496183,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,STOMACH,Stomach,Żołądek,mortality,2024,World standard population,1.57,3.25,1.68,2.0700636942675157,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,THYROID,Thyroid,Tarczyca,incidence,2024,World standard population,8.81,3.09,-5.720000000000001,0.35073779795686716,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,THYROID,Thyroid,Tarczyca,mortality,2024,World standard population,0.24,0.21,-0.03,0.875,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,incidence,2024,World standard population,2.7,3.94,1.2399999999999998,1.459259259259259,iarc_globocan_2024,GLOBOCAN 2024
