geography_code,measure,cancer_code,cancer_label_en,cancer_label_pl,value,rank,source_id,source_version,year
POL,mortality,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,773.0,24,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,495.0,25,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,THYROID,Thyroid,Tarczyca,438.0,26,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,VULVA,Vulva,Srom,417.0,27,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,MESOTHELIOMA,Mesothelioma,Międzybłoniak,361.0,28,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,SALIVARY,Salivary glands,Ślinianki,278.0,29,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,181.0,30,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,PENIS,Penis,Prącie,161.0,31,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,NASOPHARYNX,Nasopharynx,Część nosowa gardła,156.0,32,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,TESTIS,Testis,Jądro,148.0,33,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,VAGINA,Vagina,Pochwa,56.0,34,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,25.0,35,iarc_globocan_2024,GLOBOCAN 2024,2024
USA,incidence,OTHER,Other specified cancers,Inne określone nowotwory,600899.0,1,iarc_globocan_2024,GLOBOCAN 2024,2024
USA,incidence,BREAST,Breast,Pierś,289475.0,2,iarc_globocan_2024,GLOBOCAN 2024,2024
